,0
0,Armor:Absinthe-hued leathers outlined at the seams with strips of gold moradu bone
1,Armor:Abstract vine-motif mask
2,Armor:Abyssal black Imperial weave battle gown with blackened moonsilver epaulets
3,Armor:Abyssal blue helm adorned with membranous glaes fins
4,Armor:Acid-etched half plate
5,Armor:Aged chain hauberk lined with bloodstained silk
6,Armor:Aged double leathers embossed across the back with white outstretched wings
7,Armor:Aged leather combat armor with a faint seal over the breastplate (1)
8,Armor:Aged leather combat armor with a faint seal over the breastplate (2)
9,Armor:Aged leathers bearing the crest of Akigwe Tower
10,Armor:Agonite lamellar helm sculpted with the visage of a blazing phoenix
11,Armor:Agonite mail balaclava set with dragon fire opal eyes
12,Armor:Agonite mail gloves firestained with gold and vermilion hues
13,Armor:Agonite mail gloves tipped with dragon fire opal talons
14,Armor:Agonite mail greaves patterned with dragon fire opal flames
15,Armor:Agonite mail shirt layered over dusky dreamweave padding
16,Armor:Agonite plate gauntlets lined with firesilk padding
17,Armor:Agonite plate mask firestained with gold and vermilion hues
18,Armor:Airy mirror-finished mail interspersed with clear glaes links
19,Armor:Amber-eyed king snake mask
20,Armor:Amethyst Imperial weave gloves
21,Armor:Amethyst Imperial weave hood
22,Armor:Amethyst Imperial weave robe with golden satin epaulets
23,Armor:Angular vardite gauntlets sporting a heartstone-accented extended cuff
24,Armor:Animite-emblazoned icesteel vambraces
25,Armor:Animite-etched field plate armor with golden pauldrons
26,Armor:Apple red great helm crested with thealstone worms (1)
27,Armor:Apple red great helm crested with thealstone worms (2)
28,Armor:Arbelog claw gloves
29,Armor:Armbands
30,Armor:Armet (crafted)
31,Armor:Armet helm
32,Armor:Armet helm edged in silver (1)
33,Armor:Armet helm edged in silver (2)
34,Armor:Armet helm etched with a patinaed naga
35,Armor:Armet helmet
36,Armor:Armguards crafted from layers of fine kiralan chain mesh
37,Armor:Armor
38,Armor:Armet helm edged in silver
39,Armor:Arsenic-blackened visored helm with elaborate bronze ornamentation
40,Armor:Articulated armguards
41,Armor:Articulated aventail
42,Armor:Articulated greaves
43,Armor:Articulated midnight black armor with adan'f skull pauldrons and silver-plated besagues
44,Armor:Articulated obsidian gauntlets edged with thin gold chain
45,Armor:Articulated plate gauntlets accented with crocodile-skin along the cuffs
46,Armor:Articulated steel gauntlets adorned with golden spikes knuckles
47,Armor:Asteriated chain mail
48,Armor:Audrualm chain helm painted to mimic a tumultuous ocean
49,Armor:Augmented hauberk
50,Armor:Augmented hauberk fashioned with an image of a jade dragon
51,Armor:Austere brigandine hauberk fastened with steelsilk straps
52,Armor:Badly misshapen bone greaves with raised and hardened ridges
53,Armor:Balaclava painted to resemble rotting flesh
54,Armor:Banded aventail
55,Armor:Banded plate armor etched with a flying eagle
56,Armor:Barrel helm (1)
57,Armor:Barrel helm (2)
58,Armor:Bascinet
59,Armor:Bascinet helm
60,Armor:Battered black leather hood
61,Armor:Battered chain shirt
62,Armor:Battered leather coat
63,Armor:Beaked leather mask decorated with long peacock feathers
64,Armor:Beaten silver bracers etched with the lion of Chadatru
65,Armor:Beaten steel hauberk
66,Armor:Beeswaxed leather coat
