,0
0,Shield:Acid-etched tyrium target shield
1,Shield:Aegis (crafted)
2,Shield:Agonite-edged triangular sipar with various faces swirling across its surface
3,Shield:Aldamdin targe crafted to resemble a stylized spider
4,Shield:Alret's black shield emblazoned in silver with a rearing dragon
5,Shield:Arsenic-blackened tower shield edged with tarnished silver rivets
6,Shield:Ash-blackened sipar
7,Shield:Azure pageant shield emblazoned with a gold dragon
8,Shield:Azure targe emblazoned with the crest of the Clerics' Guild
9,Shield:Azure targe embossed with a shipwreck spilling hordes of glistening jewels
10,Shield:Azure target shield embellished with silver anchors
11,Shield:Dadoed tower shield
12,Shield:Damite heater shield embellished with anlora-avtoma vines
13,Shield:Dark ghostly shield
14,Shield:Dark gold ironwood buckler embossed with a snarling silver tiger
15,Shield:Dark iron targe with an engraved boss
16,Shield:Dark ironwood buckler painted with a field of seven-pointed stars
17,Shield:Dark ironwood buckler painted with a graceful white swan
18,Shield:Dark ironwood buckler painted with a snarling shadowmaster
19,Shield:Dark ironwood buckler stenciled with the image of a grinning white skull
20,Shield:Dark kite shield painted with a coiled whip
21,Shield:Dark mahogany shield reinforced with crude strips of iron
22,Shield:Dark red tower shield emblazoned with a ring of golden thorns
23,Shield:Dark stained target shield
24,Shield:Dark steel target shield prominantly displaying a silver crest
25,Shield:Dark tower shield centered with a silversteel boss
26,Shield:Darkened leather buckler adorned with a brass hound's head
27,Shield:Darkened leather siege shield
28,Shield:Darkened steel buckler painted with a lion standing over a fallen warrior
29,Shield:Darkly enameled wooden targe
30,Shield:Darkstone-edged triangular sipar with an engraving of mountains
31,Shield:Deep blue buckler embedded with nine golden stars
32,Shield:Deep bronze buckler engraved with an ebony panther
33,Shield:Deep ebony exoskeletal shield entangled by a cluster of orbweavers
34,Shield:Dented bronze gladiator's shield
35,Shield:Dented pot lid dappled with scorch marks
36,Shield:Dented steel targe emblazoned with an elaborate labyrinthine pattern
37,Shield:Dented tower shield with the paint partially scraped off
38,Shield:Diamond-shaped kwarf embossed with vine filigree
39,Shield:Diamond-shaped steel target shield quartered in brown and gold with a Dwarven hammer and a mountain fortress
40,Shield:Diamondwood shield reinforced with silversteel spikes
41,Shield:Diminutive target shield stamped with crossing scimitars
42,Shield:Discolored tower shield painted with a great turnip battle scene
43,Shield:Dull grey oval shield starkly painted with a black horned skull
44,Shield:Dull steel targe embossed with a stalking panther
45,Shield:Dwarven iron skirmisher's shield embellished with asini crows
46,Shield:Dwarven warrior's shield
47,Shield:Badly misshapen bone shield
48,Shield:Badly scuffed target shield
49,Shield:Banded durian wood buckler
50,Shield:Barmaid's sturdy wicker tray
51,Shield:Barnacle-encrusted bronze kite shield
52,Shield:Baroque gold-on-niniam targe (1)
53,Shield:Baroque gold-on-niniam targe (2)
54,Shield:Battered black shield emblazoned with a scorched silver dragon
55,Shield:Battered ceremonial shield decorated with Enelne's eyes
56,Shield:Battered oval shield
57,Shield:Battered wooden shield sloppily painted with faded insignia
58,Shield:Battle-worn black steel tower shield
59,Shield:Beaten brass shield
60,Shield:Beaten-bronze Dwarven shield
61,Shield:Black and white checkered tower shield
62,Shield:Black and white cowhide shield
63,Shield:Black diamond-studded ceremonial shield emblazoned with a burgundy raven
64,Shield:Black ironwood buckler
65,Shield:Black ironwood buckler with a skull-shaped damite boss
66,Shield:Black ironwood kite shield stenciled with the image of tumbling white dice
67,Shield:Black ironwood shield studded with bronze fists
68,Shield:Black jagged-edged kwarf
69,Shield:Black kite shield painted with a single flame
70,Shield:Black kite shield painted with the image of a strutting heron
71,Shield:Black medium shield enameled with a silver clenched fist
72,Shield:Black oval shield painted with the image of a dancing skeleton
73,Shield:Black painted target shield with a large yellow flower
74,Shield:Black shield emblazoned in silver with a rearing dragon
75,Shield:Black shield emblazoned with the image of a dragon curling around the world in brilliant gold
76,Shield:Black shield emblazoned with the image of a dragon curling around the world in livid purple
77,Shield:Black steel tower shield accented by a silvery-white metal inlay of the Empath's Guild crest
78,Shield:Black steel tower shield accented by a silvery-white metal inlay of the Empaths' Guild crest
79,Shield:Black steel tower shield with a gem in its top edge
80,Shield:Black target shield painted with a giant bloodshot eye
81,Shield:Black tower shield
82,Shield:Black tower shield carved in the appearance of a fleshless skull
83,Shield:Black tower shield emblazoned with a wounded white unicorn rampant over an enormous red moon
84,Shield:Black tower shield enameled with rose vines
85,Shield:Black wooden shield
86,Shield:Black-marbled buckler
87,Shield:Blackened battle shield stamped with a cracked skull
88,Shield:Blackened shield painted with a fierce lion leaping through a wall of flames
89,Shield:Blackened steel oval shield inlaid with an angry vixen
90,Shield:Blackened steel shield roughly enameled with an image of the Rissan Barbarian Guild
91,Shield:Blackened steel targe embellished with a complex tyrium-studded design
92,Shield:Blackened steel targe riveted with golden lirums around the edge
93,Shield:Blackened steel target shield etched with a sleeping kitten
94,Shield:Blackened steel target shield inlaid with an angry wolf
95,Shield:Blackened steel tower shield edged with rampant dragons that surround an ornately set Elamiri sapphire
96,Shield:Blackened steel valnik shield
97,Shield:Blackened steel war shield with a gryphon head chased into the center
98,Shield:Blackened target shield displaying a metallochitin tomiek-iguji broodling
99,Shield:Blackened target shield with silver filigree around a faded crest
100,Shield:Blackened tower shield emblazoned with a brightly polished lightning bolt (1)
101,Shield:Blackened tower shield emblazoned with a brightly polished lightning bolt (2)
102,Shield:Blackened tower shield emblazoned with a brightly polished phoenix rising from a pyre
103,Shield:Blackened tower shield with an empty setting surrounded by barbed spikes
104,Shield:Blazing shield
105,Shield:Blighted silverwillow buckler
106,Shield:Bloodstained leather shield edged with iron spikes
107,Shield:Blue ironwood kite shield embossed with a gold-plated crescent moon
108,Shield:Blue tower shield emblazoned with a snow-capped mountain
109,Shield:Blue tower shield painted with a wave pattern
110,Shield:Blue-white oval shield banded with burnished steel
111,Shield:Blue-white oval shield banded with hammered copper
112,Shield:Blued-steel buckler with a wyvern-shaped boss
113,Shield:Boat plank shield
114,Shield:Bogbirch war shield plated in ka'hurst
115,Shield:Boiled leather buckler
116,Shield:Bone and ivory inlaid tower shield
117,Shield:Bone-braced leather shield
118,Shield:Braided wicker shield
119,Shield:Brass-edged battle shield
120,Shield:Bright red tower shield bearing a gold device
121,Shield:Brightly polished steel oval shield emblazoned with a crescent moon
122,Shield:Brilliant green tower shield adorned with a leaping inkhorne
123,Shield:Brilliant pink triangular sipar accented with rose gold trim
124,Shield:Brilliant scarlet coral shield banded with wrought brass designs
125,Shield:Broad steel jousting shield engraved with a jeweled raven
126,Shield:Bronze ceremonial shield strung with decayed bones
127,Shield:Bronze kite shield inlaid with silver curlicues
128,Shield:Bronze rondache embellished with fire-gilded bosses
129,Shield:Bronze skirmisher's shield embossed with the image of a soaring black crow
130,Shield:Bronze target shield shaped like a clawed paw
131,Shield:Bronze tower shield emblazoned with an imposing stag
132,Shield:Bronzed shield embossed with an image of two crossed swords
133,Shield:Bronzed shield engraved with a dragon entangled in ivy
134,Shield:Brown tower shield painted with a grey tornado
