,0
0,"Weapon:""ATTENTION STARVED"" arrow"
1,"Weapon:""BOOT LICKER"" bolt"
2,"Weapon:""BROWN-NOSER"" bolt"
3,"Weapon:""CAPITULATE"" arrow"
4,"Weapon:""CAUTION: POINTY"" spear"
5,"Weapon:""CLOTPOLE"" bolt"
6,"Weapon:""COME AT ME"" arrow"
7,"Weapon:""DIE!"" pellet"
8,"Weapon:""DONE YET?"" spear"
9,"Weapon:""DOOFUS"" pellet"
10,"Weapon:""FLAP-DRAGON"" bolt"
11,"Weapon:""FLAX-WENCH"" arrow"
12,"Weapon:""FROG-WART"" bolt"
13,"Weapon:""GET WELL SOON"" spear"
14,"Weapon:""GOBLIN-FACE"" bolt"
15,"Weapon:""GOBSNOT"" spear"
16,"Weapon:""GOOBER"" arrow"
17,"Weapon:""GOT ISSUES"" arrow"
18,"Weapon:""GOT ISSUES"" bolt"
19,"Weapon:""GROUND-SWILL"" arrow"
20,"Weapon:""HA-HA"" spear"
21,"Weapon:""HANDS OFF"" spear"
22,"Weapon:""HARPY"" pellet"
23,"Weapon:""HEDGE-PIG"" arrow"
24,"Weapon:""I DARE YOU"" arrow"
25,"Weapon:""JACK-A-NAPE"" bolt"
26,"Weapon:""JOLTHEAD"" bolt"
27,"Weapon:""KISS OFF"" bolt"
28,"Weapon:""LAZY"" arrow"
29,"Weapon:""LEECH BREATH"" bolt"
30,"Weapon:""LEWDSTER"" arrow"
31,"Weapon:""LINE SKIPPER"" arrow"
32,"Weapon:""LOUT"" pellet"
33,"Weapon:""MAGGOT"" pellet"
34,"Weapon:""MAGGOT""-PIE bolt"
35,"Weapon:""MUMBLE-NEWS"" arrow"
36,"Weapon:""MUSH-HEAD"" bolt"
37,"Weapon:""NEVER AGAIN"" spear"
38,"Weapon:""NO YOU"" arrow"
39,"Weapon:""NO YOU"" bolt"
40,"Weapon:""NOPE"" spear"
41,"Weapon:""NOT IT"" bolt"
42,"Weapon:""OPEN SEASON"" spear"
43,"Weapon:""OUT OF MY WAY!"" bolt"
44,"Weapon:""PORRIDGE-BRAIN"" arrow"
45,"Weapon:""REFUSE-EATER"" pellet"
46,"Weapon:""RETURN THIS"" spear"
47,"Weapon:""RUDESBY"" pellet"
48,"Weapon:""SCAB-FOR-BRAINS"" pellet"
49,"Weapon:""SCRAM!"" spear"
50,"Weapon:""SCUT"" pellet"
51,"Weapon:""SEE MY POINT?"" spear"
52,"Weapon:""SERIOUSLY?"" pellet"
53,"Weapon:""SHOVE OFF"" spear"
54,"Weapon:""SKAINSMATE"" arrow"
55,"Weapon:""SNERT"" arrow"
56,"Weapon:""SNERT"" pellet"
57,"Weapon:""SNERT"" spear"
58,"Weapon:""SNIPE"" pellet"
59,"Weapon:""SNOTTY IMP"" spear"
60,"Weapon:""SUCK-UP"" bolt"
61,"Weapon:""SUCKER"" pellet"
62,"Weapon:""TAG"" arrow"
63,"Weapon:""TEARS TO YOU!"" pellet"
64,"Weapon:""THAT'S MINE"" spear"
65,"Weapon:""THIS WON'T HURT"" spear"
66,"Weapon:""TICKLE TICKLE"" spear"
67,"Weapon:""TOE-LICKER"" spear"
68,"Weapon:""TRY THAT AGAIN"" pellet"
69,"Weapon:""VIPER-LICKER"" bolt"
